"Специализация	Название	Код продукта"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Server for Coal Industry	4059"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Server for Coal Industry, Upd, Enterprise	4060"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for LPC, Enterprise	4078"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Sensor for Nuclear Power Plant	4083"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Sensor, Updates and Support, Enterprise NPP	4084"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR OT Bundle 1	4087"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR 1	4102"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR 3	4103"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR 2	4105"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR 4	4106"
"ICS (KICS)	Kaspersky Machine Learning for Anomaly Detection Процессор событий Enterprise Premium Edition, Site	4679"
"ICS (KICS)	Kaspersky Machine Learning for Anomaly Detection with Event Processor and ML Model Builder	4683"
"ICS (KICS)	Kaspersky Machine Learning for Anomaly Detection with Event Processor and Model Builder	4685"
"ICS (KICS)	KICS (KICS) Integration Agent & KEDR, Enterprise	4700"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Updates, Security Audit	4732"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes Portable Scanner	4733"
"ICS (KICS)	Kaspersky Industrial CyberSecurity EDR, Integration Agent	4734"
"ICS (KICS)	Kaspersky Industrial CyberSecurity Integration Agent	4735"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, EDR	4736"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, EDR	4737"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR Add-on for Server, Enterprise	4747"
"ICS (KICS)	Kaspersky Industrial CyberSecurity XDR, Enterprise	4748"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, Enterprise YO	4750"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, Enterprise YO	4751"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, Enterprise ME	4768"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, Enterprise ME	4769"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, Enterprise for NGP 	4782"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, Enterprise for NGP 	4783"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Remote Collector	4808"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection, Site 	4813"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection, подсистема создания ML-моделей 	4814"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection, ПО для пилотных проектов 	4815"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection c подсистемой создания ML-моделей, Site 	4820"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection c подсистемой создания ML-моделей, ПО для пилотных проектов 	4821"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection c подсистемой создания ML-моделей, Tags 	4822"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection Enterprise Premium Edition, Site 	4825"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection Enterprise Premium Edition, Tags 	4826"
"ICS (KICS)	Kaspersky Industrial CyberSecurity	4895"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes	4896"
"ICS (KICS)	Kaspersky Industrial CyberSecurity Light	4898"
"ICS (KICS)	Kaspersky Industrial CyberSecurity Integration Agent, Enterprise	4930"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation	4931"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, Limited Updates	4932"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server	4933"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, Limited Updates	4934"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server	4935"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Limited Updates	4936"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Additional Sensor	4937"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Additional Sensor, Limited Updates	4938"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Updates and Support, Enterprise	4939"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Additional Sensor, Updates and Support, Enterprise	4940"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, Enterprise	4941"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Upgrade	4942"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, Enterprise	4943"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Enterprise	4945"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Limited Updates, Enterprise	4946"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Additional Sensor, Enterprise	4947"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Additional Sensor, Limited Updates, Enterprise	4948"
"ICS (KICS)	Kaspersky Industrial CyberSecurity EDR, Integration Agent, Enterprise	4949"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, EDR, Enterprise	4950"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, EDR, Enterprise	4951"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Bundle for Railroads, Addon Sensor	4952"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Bundle for Railroads, Addon Sensor Lim.Upd	4953"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Bundle for Railroads, Standard Server	4954"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Special Bundle for Railroads,Standard Server Lim.Upd	4955"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Server, Basic	4956"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes, Workstation, Basic	4957"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Nodes Portable Scanner, Enterprise	4958"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Upd&Sup, Active Polling, Enterprise	4959"
"ICS (KICS)	Kaspersky Industrial CyberSecurity for Networks Standard Server, Upd&Sup, Security Audit, Enterprise	4960"
